㐷	horse; knight
南天门	southern gate of the Heavenly Palace
南屯区	Nantun District of Taichung, Taiwan
南投县	Nantou County in central Taiwan
南投市	Nantou city in central Taiwan, capital of Nantou county
南朝宋	Song of the Southern dynasties , with capital at Nanjing
南朝梁	Liang of the Southern dynasties
南朝陈	Chen of the Southern dynasties
南朝鲜	South Korea
南朝齐	Qi of Southern dynasties
南极光	southern lights
南极圈	Antarctic Circle
南极座	Octans
南极洲	Antarctica
南极海	Southern Ocean
南极界	Antarctic realm
南波万	number one
南泥湾	"Nanniwan", a song written in 1943 to celebrate the achievements of communist revolutionaries in Nanniwan, where the 359th brigade of the Eighth Route Army reclaimed barren land as part of a campaign to become self-sufficient in food during a blockade by enemy forces
南浦市	Nampo city in North Korea
南瓜灯	jack-o'-lantern
南美梨	avocado
南美洲	South America
南联盟	Federal Republic of Yugoslavia
南胶河	Nanjiao River
南苏丹	South Sudan
南荷兰	South Holland, a province of the Netherlands
南诏国	Nanzhao, 8th and 9th century kingdom in Yunnan, at times allied with Tang against Tibetan Tubo pressure
南门二	Alpha Centauri or Rigel Kentaurus
南阳县	Nanyang county in Henan
南非茶	rooibos tea
南非语	Afrikaans
南鱼座	Piscis Austrinus
博伊西	Boise, Idaho
博士后	postdoc; postdoctoral fellow
博士山	Box Hill, a suburb of Melbourne, Australia with a large Chinese community
博士生	PhD student; doctoral candidate
博士茶	rooibos tea
博客圈	blogosphere
博尔德	Boulder, Colorado
博尔顿	Bolton
博弈论	game theory
博格多	Bogdo, last Khan of Mongolia
博爱座	priority seat
博物学	natural history
博物院	museum
博物馆	museum
博登湖	Lake Constance
博眼球	attract attention; to catch attention
博福斯	Bofors, Swedish arms company involved in major corruption case during 1980s
博美犬	Pomeranian
博蒙特	Beaumont
博览会	an exposition; an international fair
博鳌镇	Bo'ao, coastal town in Hainan, a tourist destination and the site of the annual Boao Forum for Asia
卜卜米	Rice Krispies
占上风	take the lead
占下风	be at a disadvantage
占优势	predominate
占位符	placeholder
占便宜	advantageous
占地儿	take up space
占地方	take up space
占星学	astrology
占星家	astrologer
占星师	astrologer
占星术	astrology
占领者	occupant
卡丁车	go-kart
卡乐星	Carl's Jr.
卡介苗	BCG vaccine
卡仕达	custard
卡仙尼	Cassini space probe
卡侬头	XLR connector
卡内基	Carnegie
卡利科	calico
卡到阴	be possessed
卡哇伊	cute
卡地亚	Cartier
卡塔尔	Qatar
卡士达	custard
卡夫卡	Franz Kafka , Czech Jewish writer
卡宾枪	carbine rifle
卡尔文	Calvin
卡尔森	Carlson; Carlsen; Karlsen
卡尔顿	Carleton
卡尼丁	carnitine
卡巴莱	cabaret
卡式炉	portable gas stove
卡扎菲	Gaddafi , de facto leader of Libya from 1969-2011
卡拉奇	Karachi
卡拉胶	carageenan
卡斯翠	Castries, capital of Saint Lucia
卡梅伦	Cameron
卡森城	Carson City, capital of Nevada
卡洛娜	calzone , folded pizza
卡洛斯	Carlos
卡洛驰	Crocs, Inc.
卡片机	compact digital camera
卡特尔	cartel
卡瓦斯	kvass
卡秋莎	Katyusha
卡纳蕾	canelé
卡美拉	Gamera , Japanese movie monster
卡美洛	Camelot, seat of legendary King Arthur
卡脖子	squeeze the throat
卡西尼	Cassini
卡西欧	Casio
卡路里	calorie
卡骆驰	Crocs, Inc.
卢克索	Luxor, city in Egypt
卢卡斯	Lucas
卢塞恩	Lucerne
卢安达	Rwanda
卢旺达	Rwanda
卢森堡	Luxembourg
卢武铉	Roh Moo-hyun , South Korean lawyer and politician, president 2003-2008
卢泰愚	Roh Tae-woo , South Korean politician, president 1988-1993
卢浮宫	the Louvre, museum in Paris
卢瑟福	Rutherford
卢萨卡	Lusaka, capital of Zambia
卤代烃	haloalkane
卤化物	halide
卤化银	silver halide used to fix photos
卤素灯	halogen lamp
卧不安	restless insomnia
卧果儿	a poached egg
卧龙岗	Wollongong, Australia
卫奕信	David Clive Wilson, Baron Wilson of Tillyorn , British diplomat and China expert, Governor of Hong Kong 1986-1992
卫星图	satellite photo
卫星城	"satellite" town
卫生丸	mothball
卫生厅	department of health
卫生套	condom
卫生局	health office
卫生巾	sanitary towel
卫生棉	sanitary napkin
卫生球	mothball
卫生筷	disposable chopsticks
卫生纸	toilet paper; tissues
卫生署	health bureau
卫生胡	toothbrush moustache; Hitler moustache
卫生衣	thermal undershirt; long underwear top
卫生裤	thermal underwear bottoms; long underwear pants
卫生部	Ministry of Health
卫生间	bathroom
卫留成	Wei Liucheng , fifth governor of Hainan
卫道士	traditionalist
卯起来	get enthusiastic; to put in all one's energy
印刷业	typography
印刷体	printed style
印刷厂	printing house
印刷品	printed products
印刷所	printing press
印刷术	printing
印刷机	printing press
印刷版	printing plate
印刷量	print run
印古什	Ingushetia, republic in southwestern Russia
印地语	Hindi
印堂穴	yintang, acupuncture point at the midpoint between the medial ends of the eyebrows
印头鱼	shark sucker
印子钱	usury
印尼盾	Indonesian rupiah
印尼语	Indonesian language
印度人	Indian
印度教	Hinduism
印度河	Indus River
印度洋	Indian Ocean
印把子	seal of authority
印支期	Indo-Chinese epoch
印欧人	Indo-European
印欧文	Indo-European
印欧语	Indo-European
印第安	Indian
印花税	stamp duty
印表机	printer
印象分	kudos
印象派	impressionism
印钞机	money printer
危害性	harmfulness
危机感	sense of crisis; acute awareness of looming danger or instability
危险品	hazardous materials
即时制	real-time
即期品	product approaching its expiry date
卵圆形	oval
卵圆窗	oval window
卵巢窝	ovarian fossa
卵用鸡	laying hen
卵磷脂	lecithin
卵精巢	ovaries and testes
卵细胞	egg cell
卵胎生	ovoviviparous
卵黄囊	yolk sac
卵黄管	vitelline duct
卵黄腺	vitelline glands
卷发器	hair curler
卷发棒	curling iron
卷发筒	hair roller
卷地皮	corrupt practice
卷尾猴	white-headed capuchin
卷层云	cirrostratus
卷帘门	roll-up door; roller shutter door
卷心菜	cabbage
卷扬机	a capstan
卷积云	cirrocumulus
卷笔刀	pencil sharpener
卷线器	fishing reel
卷铺盖	quit
卸肩儿	a weight off one's shoulders
厂礼拜	day off
厄什塔	Ørsta
厄洛斯	Eros
厄瓜多	Ecuador
历史上	historical
历史剧	historical drama
历史学	history
历史家	historian
历史性	historic
压倒性	overwhelming
压克力	acrylic
压力计	pressure gauge
压力锅	pressure cooker
压台戏	last item on a show
压岁钱	money given to children as a gift on Chinese New Year's Eve
压电体	piezo-electric
压线钳	crimping pliers
压缩包	compressed archive file
压缩器	compressor
压缩机	compactor
压缩比	compression ratio
压舌板	tongue depressor
压舱石	ballast stone; source of stability
压蒜器	garlic press
压路机	road roller
压轴戏	penultimate item on the program
厌女症	misogyny
厌氧菌	anaerobic bacteria
厌食症	anorexia
厚底鞋	platform shoes
厚生相	minister of health
厚生省	Ministry of Health and Welfare
厚脸皮	brazen
厚薄规	feeler gauge
原产国	country of origin
原产地	original source
原住民	indigenous peoples
原作版	Urtext edition
原典版	Urtext edition
原函数	antiderivative
原则上	in principle
原则性	principled
原创力	creativity
原创性	originality
原动力	motive force
原声带	original soundtrack ; soundtrack
原始人	primitive man; prehistoric human
原始林	old growth forest
原始码	source code
原子堆	atomic pile
原子弹	atomic bomb; A-bomb
原子核	atomic nucleus
原子笔	ballpoint pen
原子能	atomic energy
原子论	atomic theory
原子量	atomic weight
原子钟	atomic clock
原材料	raw and semifinished materials
原点矩	moment
原爆点	ground zero
原物料	raw material
原生质	protoplasm
原电池	primary cell; non-rechargeable battery
原研药	innovator drug; originator drug
原纤维	fibril
原肾管	protonephridium
原苏联	former Soviet Union
原被告	plaintiff and defendant
原谅色	green
厢型车	van
厢式车	van
厨师长	executive chef
去你的	Get along with you!
去光水	nail polish remover
去回票	round-trip ticket
去垢剂	detergent
去年底	late last year
去皮重	tare
县政府	county administration
县级市	county-level city
参与者	participant
参加者	participant
参卡尔	Ivan Cankar , Slovenian modernist writer
参宿七	Rigel
参政权	suffrage
参照系	frame of reference
参考书	reference book
参考系	frame of reference
参议员	senator
参议院	senate
参访团	delegation
参谋长	chief of staff
参赛者	competitor
参选人	election participant
参选率	voter turnout
参鸡汤	samgyetang, popular Korean chicken soup with ginseng, spices etc
又一次	yet again
又来了	Here we go again.
叉尾鸥	Sabine's gull
叉烧包	steamed bun filled with Chinese barbecued pork
及时性	timeliness
及时雨	timely rain
及格线	passing line or score
友谊峰	Friendship Peak or Khüiten Peak , the highest peak of the Altai mountains
友谊赛	friendly match; friendly competition
双一流	Double First-Class University Plan, Chinese government project to develop both a group of Chinese universities and a group of subject disciplines to be world-class by 2050, implemented from 2017
双下巴	double chin
双主修	double major
双人床	double bed
双人房	double room
双人滑	pair skating
双人舞	dance for two
双人间	double room
双休日	two-day weekend
双体船	catamaran
双倍体	diploid
双元音	diphthong
双光气	diphosgene
双关语	pun
双凸面	convex on both sides
双刃剑	double-edged sword
双十节	National Day
双名法	binomial nomenclature
双唇音	bilabial consonant
双城子	Shuangchengzi, former name of Ussuriisk city in Russian Pacific Primorsky region
双壳类	bivalve
双复磷	obidoxime chloride
双子叶	dicotyledon
双子座	Gemini
双子星	binary star
双学位	dual degree
双层床	bunk beds
双峰镇	Twin Peaks, US television drama series 1990-1991
双床房	twin room
双开门	double door
双引号	double quotes
双性恋	bisexual
双曲线	hyperbola
双曲面	hyperboloid
双月刊	bimonthly publication
双氧水	hydrogen peroxide solution
双球菌	diplococcus
双眼皮	double eyelid
双立人	J. A. Henckels
双簧管	double reed wind instrument
双绞线	twisted pair
双翅目	Diptera
双职工	working couple
双肩包	backpack
双胞胎	twin
双脚架	bipod
双节棍	nunchaku
双蕊兰	double-stamen orchid , an endangered species
双角犀	two-horned rhinoceros
双陆棋	backgammon
双面人	two-faced person
双面胶	double-sided tape
双音节	bisyllable
双马尾	unplaited pigtails
双髻鲨	hammerhead shark
双鱼座	Pisces
双黄蛋	double-yolk egg
反义字	antonym
反义词	antonym
反人类	inhuman
反作用	reaction
反倾销	anti-dumping
反光镜	reflector
反光面	reflecting surface
反冲力	backlash
反函数	inverse function
反动派	reactionaries
反嘴鹬	pied avocet
反围剿	communist attack against the Guomindang's encircle and annihilate campaign
反圣婴	La Niña
反坦克	anti-tank
反垄断	break up or prevent monopolies
反基督	the anti-Christ
反季节	off-season; out-of-season
反对党	opposition party
反对派	opposition faction
反对票	dissenting vote
反导弹	anti-missile
反射光	reflect light
反射弧	reflex arc
反射镜	reflector
反射面	reflecting surface
反应堆	reactor
反应式	equation of a chemical reaction
反应时	response time
反应炉	reactor
反应锅	reaction vessel; reaction tank
反批评	countercriticism
反抗者	rebel
反政府	anti-government
反散射	backscatter
反斜杠	backslash
反斜线	backslash
反时势	unconventional
反时针	counterclockwise
反映论	theory of reflection , i.e. every perception reflects physical reality
反智论	anti-intellectualism
反曲弓	recurve bow
反气旋	anticyclone
反渗透	anti-infiltration
反照率	reflectivity
反物质	antimatter
反电子	positron
反相器	inverter; NOT gate
反知识	anti-intellectual
反社会	antisocial
反科学	anti-science
反空降	anti-aircraft defense
反粒子	antiparticle
反腐败	oppose corruption
反舰艇	anti-ship
反英雄	antihero
反证法	reductio ad absurdum
反诉状	counterclaim
反诘问	cross-examine
反贪污	anticorruption
反贪腐	anti-corruption
反走私	oppose smuggling
反转录	reverse transcription
反过来	conversely
反锯齿	anti-aliasing
反问句	rhetorical question
反间计	stratagem of sowing dissension
反间谍	counterintelligence
反革命	counterrevolutionary
反高潮	anticlimax
发令枪	starting pistol
发件人	sender
发刊词	foreword
发动力	motive power
发动机	engine; motor
发喉急	get in a rage
发嘘声	hiss
发型师	hair stylist
发声器	sound device
发声法	intonation
发射井	launching silo
发射台	launchpad
发射器	radio transmitter
发射场	launch site
发射机	transmitter
发射站	launch pad
发展中	developing
发展商	developer
发布会	product launch event
发情期	the breeding season
发报人	sender
发明人	inventor
发明家	inventor
发明者	inventor
发横财	make easy money
发泡剂	foaming agent
发泡胶	expanded polystyrene
发源地	place of origin
发烟弹	smoke bomb; smoke grenade
发烧友	fan
发牢骚	whine
发现号	Space Shuttle Discovery
发现物	a find
发球区	teeing ground
发生率	rate of occurrence
发电厂	power plant
发电机	electricity generator
发电站	power station
发电量	output; capacity
发病率	incidence of a disease
发短信	send a text message
发神经	go crazy
发祥地	the birthplace
发育期	puberty
发脾气	lose one's temper; to fly into a rage; to throw a tantrum
发薪日	payday
发行人	publisher
发行商	publisher; distributor; issuer
发行额	circulation
发表会	press conference
发言人	spokesperson
发言权	the right to speak; the right to express one's views
发语词	introductory particle
发财树	money tree
发财车	mini truck
发起人	proposer
发达国	developed nation
发送器	transmitter
发酒疯	get wildly drunk
发际线	hairline
发音体	sound producing object
叔丈人	wife's uncle
叔丈母	wife's aunt
叔本华	Arthur Schopenhauer , German post-Kantian philosopher
叔祖母	wife of paternal grandfather's younger brother
取代基	substituent
取决于	hinge on
取景器	viewfinder
取景框	viewfinder
取款机	ATM
取灯儿	match
受不了	unbearable
受保人	the insured person
受刑人	person being executed
受害人	victim
受害者	casualty
受得了	put up with; to endure
受托人	trustee
受托者	trustee
受支配	subject to
受欢迎	be popular; to be well-liked; to be warmly received
受气包	punching bag
受电弓	pantograph
受益人	beneficiary
受精卵	fertilized ovum
受精囊	seminal receptacle
受约束	restricted
受聘于	be employed at
受虐狂	masochism
受访者	participant in a survey; interviewee; respondent
受试者	subject
受追捧	be eagerly sought after
受难日	Good Friday
受难者	sufferer
变分学	calculus of variations
变分法	calculus of variations
变化球	breaking ball
变化音	accidental
变压器	transformer
变声器	voice changer
变奏曲	variation
变异株	variant
变形虫	amoeba
变态辣	insanely spicy
变性土	vertisol
变戏法	perform conjuring tricks
变把戏	perform magic
变换群	transformation group
变法儿	try by all available methods
变流器	converter
变温层	thermocline
变焦环	zoom ring
变电站	substation
变矩器	torque converter
变色龙	chameleon
变装秀	drag show; cross-dressing show
变装者	cross-dresser
变调夹	capo
变质岩	metamorphic rock
变速器	gearbox
变速杆	gear lever
变速箱	gearbox
变造币	illegally modified or altered currency
变阻器	variable resistor; rheostat
变魔术	perform magical tricks
叙事线	narrative thread; storyline
叙事诗	narrative poem
叙利亚	Syria
叙拉古	Syracuse, Sicily
叙述性	narrative
叛乱罪	the crime of armed rebellion
叛国罪	the crime of treason
叛逆者	traitor
叠层岩	stromatolite
叠层石	stromatolite
叠罗汉	human pyramid
叠音钹	ride cymbal
口吸盘	oral sucker
口嚼酒	alcoholic drink made by fermenting chewed rice
口头禅	Zen saying repeated as cant
口头语	pet phrase
口服液	oral liquid
口欲期	oral stage
口水仗	dispute
口水佬	talkative person
口水战	war of words
口水歌	bubblegum pop song
口水鸡	steamed chicken with chili sauce
口簧琴	Jew's harp
口红胶	glue stick
口腔炎	stomatitis
口袋罪	vaguely defined offense that can be broadly interpreted and potentially abused by law enforcement
口袋饼	pita bread
口角战	war of words
口译员	interpreter
口足目	Stomatopoda, order of marine crustaceans
口蹄疫	foot-and-mouth disease
口风琴	melodica
口香糖	chewing gum
古人类	ancient human species such as Homo erectus and Homo neanderthalensis
古代史	ancient history
古体诗	a pre-Tang Dynasty genre of poetry, relatively free in form, usually having four, five, six or seven characters per line
古兰经	the Koran
古典乐	classical music
古典派	classicists
古北界	Palearctic realm
古地磁	paleomagnetism
古希腊	ancient Greece
古惑仔	gangster
古拉格	gulag
古文明	ancient civilization
古新世	Palaeocene
古新统	Palaeocene system
古早味	traditional style; old-fashioned feel; flavor of yesteryear
古时候	in ancient times
古柯树	coca plant
古柯碱	cocaine
古玩店	antique store
古生物	organism from the geological past
古登堡	Gutenberg
古盗鸟	Archaeoraptor
古纤道	Old Towpath along the Grand Canal in Zhejiang Province
古罗马	ancient Rome
古老肉	sweet and sour pork
古装剧	costume drama
古铜色	bronze color
古雅典	ancient Athens
古鲁鲁	the sound of a rolling object
古龙水	cologne
另一半	other half
另存为	Save As ...
只不过	it's just that ...
只限于	be limited to
叫花子	beggar
召集人	convener
叭啦狗	bulldog
叮叮猫	dragonfly
叮当响	ding dong
叮当声	tinkle
可不是	exactly!; indeed; that's for sure
可丽露	canelé
可丽饼	crêpe
可乐定	clonidine
可乐饼	croquette
可伦坡	Colombo, capital of Sri Lanka
可信任	trusty
可信度	degree of credibility
可兰经	Quran
可再生	renewable
可决率	proportion needed to approve a decision
可决票	affirmative vote
可卡因	cocaine
可压缩	compressible
可可米	Cocoa Krispies
可可粉	cocoa powder
可可脂	cocoa butter
可回收	recyclable
可塑性	plasticity
可寻址	addressable
可待因	codeine
可怜虫	pitiful creature
可怜见	pitiable; to have pity on sb
可懂度	intelligibility
可执行	executable
可持续	sustainable
可控硅	silicon-controlled rectifier ; thyristor
可擦写	erasable
可数集	countable set
可溶性	solubility
可燃冰	clathrate hydrates
可燃性	flammable
可爱岛	Kauaʻi, fourth-largest island of the Hawaiian archipelago
可知论	gnosticism, the philosophical doctrine that everything about the universe is knowable
可移植	portable
可编程	programmable
可耕地	arable land
可能性	possibility; probability
可行性	feasibility
可裂变	fissionable
可见光	visible light
可视化	visualization
可读性	readability
可转债	convertible debt
可转让	transferable
可逆性	reversibility
可采性	workability
可靠性	reliability
台东县	Taitung County in southeast Taiwan
台东市	Taitung city in southeast Taiwan, capital of Taitung county
台中市	Taichung, a city in central Taiwan
台伯河	Tiber
台克球	teqball
台北县	Taipei County in north Taiwan
台北市	Taibei or Taipei, capital of Taiwan
台南府	Tainan Prefecture, a prefecture of Taiwan under Qing rule
台巴子	Taiwanese; person from Taiwan
台式机	desktop computer
台湾岛	Taiwan Island
台湾省	Taiwan province
台湾话	Taiwanese Hokkien
台湾鹎	Styan's bulbul; Taiwan bulbul
台球桌	billiards table
台积电	Taiwan Semiconductor Manufacturing Company , founded in 1987
台罗字	Tai-lo, romanization system for Taiwanese Hokkien
台胞证	Taiwan Compatriot Entry Permit
台虎钳	bench vise
台面呢	baize
台风眼	the eye of a typhoon
史丹佛	Stanford
史前人	prehistoric man
史努比	Snoopy
史奴比	Snoopy
史威士	Schweppes
史学家	historian
史密斯	Smith
史景迁	Jonathan D. Spence , British-American historian of China
史泰博	Staples Inc., US office supply store
史莱姆	slime
史蒂夫	Steve
史蒂文	Steven, Stephen
史诗性	epic
史诗级	epic; impressive
史诗般	epic
史迪威	Joseph Stilwell , commander of US forces in China, Burma and India in World War II
史黛西	Stacy
右前卫	right forward
右对齐	right justify
右撇子	right-hander
右箭头	right-pointing arrow
叶伟民	Raymond YIP Wai-Man, Hong Kong film director
叶克膜	ECMO; extracorporeal membrane oxygenation
叶利钦	Yeltsin
叶圣陶	Ye Shengtao , writer and editor, known esp. for children's books
叶子列	leaf arrangement
叶子板	fender
叶永烈	Ye Yonglie , popular science writer
叶江川	Ye Jiangchuan
叶片状	foliated
叶礼庭	Michael Grant Ignatieff , leader of the Liberal Party of Canada
叶绿体	chloroplast
叶绿素	chlorophyll
叶里温	Yerevan, capital of Armenia
叶黄素	lutein
叶鼻蝠	leaf-nosed bat
号召力	have the power to rally supporters
号码牌	number plate
司令员	commander
司令官	commander
司令部	headquarters
司兼导	driver-guide
司各特	Scott
司天台	Observatory or Bureau of Astronomy from the Tang dynasty onwards
司汤达	Stendhal
司法官	judges and prosecutors
司法权	jurisdiction
司法部	Ministry of Justice
司法院	Judicial Yuan, the high court under the constitution of Republic of China, then of Taiwan
司线员	line judge
司陶特	stout
司马懿	Sima Yi , warlord under Cao Cao and subsequently founder of the Jin dynasty
叹口气	sigh
吃不上	unable to get anything to eat
吃不下	not feel like eating
吃不住	be unable to bear or support
吃不准	be unsure about a matter
吃不开	be unpopular
吃不服	not be used to certain food
吃不来	be unaccustomed to certain food; to not be keen on certain food
吃不消	be unable to tolerate or endure
吃公粮	be on the government payroll
吃到饱	all-you-can-eat
吃回扣	receive a kickback; to draw a commission
吃大亏	cost one dearly
吃大户	rely on others
吃官司	face legal action; to get sued
吃小灶	be given special treatment
吃干饭	be incompetent
吃得住	be able to bear
吃得开	be popular
吃得消	be able to endure
吃枪药	have swallowed gunpowder
吃牢饭	serve time in prison; to live off the prison system
吃瓦片	live off income from rental properties
吃白食	eat without paying
吃白饭	eat plain rice
吃皇粮	eat from government coffers
吃空额	embezzle by adding to the payroll employees existing in name only
吃空饷	embezzle by adding to the payroll employees existing in name only
吃老本	live off one's past achievements; to rest on one's laurels
吃苦头	suffer
吃螺丝	stumble over words
吃豆人	Pac-Man
吃豆腐	take liberties with
吃软饭	live off a woman
吃错药	have taken the wrong medicine
吃闲饭	lead an idle life; to be a loafer
吃馆子	eat out
吃鸭蛋	score 0
合不来	be incompatible; to not get along; to be unable to see eye to eye
合众国	federated nation
合伙人	partner
合作化	collectivization
合作方	partner
合作社	cooperative
合作者	co-worker
合吃族	joint eaters
合同法	contract law
合唱团	chorus
合宪性	constitutionality
合家欢	group photo of whole family
合并症	complication
合弓纲	Synapsida
合得来	get along with well; compatible
合成器	synthesizer
合成数	composite number
合成法	synthesis
合成物	compound
合成词	compound word
合成革	synthetic leather
合时宜	appropriate for the times
合格证	certificate of conformity
合气道	aikido
合法化	legalize
合法性	legitimacy
合理化	rationalize
合理性	reason
合股线	twine
合订本	bound volume
合议庭	collegiate bench
吉之岛	JUSCO, Japanese chain of hypermarkets
吉事果	churro
吉他带	guitar strap
吉他手	guitarist
吉他谱	guitar tablature
吉佳利	Kigali, capital of Rwanda
吉兰丹	Kelantan
吉利丁	gelatin
吉利服	ghillie suit
吉士粉	custard powder
吉大港	Chittagong
吉娃娃	Chihuahua
吉字节	gigabyte
吉尔达	gelada , Ethiopian herbivorous monkey similar to baboon
吉尼斯	Guinness
吉州郡	Kilju county in North Hamgyeong province, North Korea
吉布地	Djibouti
吉布提	Djibouti
吉拉尼	Syed Yousuf Raza Gilani , Pakistan People's Party politician, prime minister 2008-2012
吉拉德	Gillard
吉普车	jeep
吉本斯	Gibbons
吉特巴	jitterbug
吉百利	Cadbury
吉祥物	mascot
吉迪恩	Gideon
吉野家	Yoshinoya
吉隆坡	Kuala Lumpur, capital of Malaysia
吉鲁巴	jitterbug
吊嗓子	voice training
吊坠缚	strappado bondage
吊带衫	halter top
吊死鬼	hangman
吊点滴	put sb on an intravenous drip
吊瓶族	"infusion clan", patients who prefer medication by drip rather than orally or by injection etc
吊盐水	put sb on an intravenous drip
吊胃口	keep sb in suspense
吊膀子	flirt
吊袜带	suspenders
吊裆裤	baggy pants
吊车尾	lowest-ranking
吊钟花	Chinese New Year flower
同一挂	have a lot in common
同义字	synonym
同义词	synonym
同义语	synonym
同乐会	social gathering at which those attending take it in turns to perform for the whole group
同仁堂	Tongrentang, Chinese pharmaceutical company
同位素	isotope
同余式	congruence
同余类	congruence class; residue class
同型性	isomorphism
同性恋	homosexuality
同性爱	homosexual
同情者	supporter
同文馆	Tongwen Guan, 19th century college that trained translators for China's diplomatic corps, established in Beijing in 1862 and absorbed by the Imperial University in 1902
同时代	contemporary
同时期	at the same time
同案犯	accomplice
同温层	stratosphere
同源词	cognate; words having a common origin
同理心	empathy
同甘苦	share joys and sorrows
同盟军	ally
同盟国	allied nation
同类项	like terms
同翅目	Homoptera
同花顺	straight flush
同路人	fellow traveler
同道者	like-minded person; person who shares the same ideals or goals; kindred spirit
同音字	Chinese character that is pronounced the same
同音词	homophone; homonym
同韵词	a word that rhymes
同龄人	peer
名义上	nominally
名人堂	Hall of Fame
名人录	record of famous men
名利场	Vanity Fair
名古屋	Nagoya, city in Japan
名场面	famous scene
名画家	famous painter
名称权	copyright
名量词	nominal classifier
后勤学	military logistics
后半叶	latter half
后半场	second half
后半夜	second half of the night
后半生	latter half of one's life
后发座	Coma Berenices
后坐力	recoil
后备军	rearguard
后备箱	trunk
后天性	acquired
后感觉	after-sensation
后挡板	backboard
后掩蔽	backward masking
后援会	support group
后摇滚	post-rock
后殖民	postcolonial
后母脸	unpredictable, unstable weather
后照镜	rearview mirror
后甲板	afterdeck
后空翻	backward somersault
后置词	postposition
后脑勺	back of the head
后花园	backyard garden
后视镜	rearview mirror
后车架	luggage carrier
后车轴	back axle
后遗症	sequelae
后鼻音	velar nasal
吐便当	reappear in a story line after having been supposedly killed off
吐瓦鲁	Tuvalu, island country in the SW Pacific
吐绶鸡	turkey
吐舌头	stick out one's tongue
吐苦水	complain bitterly
吐谷浑	a state in Qinghai in 4th-7th century AD
向右拐	turn right
向家坝	Xiangjiaba Dam, Yunnan, site of a hydropower station
向左拐	turn left
向心力	centripetal force
向日葵	sunflower
向量积	vector product; cross product
向阳花	sunflower
吓一跳	startled
吓吓叫	impressive
吓破胆	be scared out of one's wits
吕宋岛	Luzon Island, north Philippines
吕布戟	snake halberd
吕贝克	Lübeck, Germany
吖丁啶	azetidine
君主制	monarchy
君主国	monarchy
君子兰	scarlet kafir lily
吝啬鬼	miser; penny-pincher
吞吐量	throughput
吞拿鱼	tuna
否决权	veto power
否决票	veto
否定句	negative sentence
吧托女	scam girl
吨公里	ton-kilometer
吩坦尼	fentanyl
含水层	aquifer
含沙量	sand content
含油岩	oil bearing rock
含羞草	mimosa
含金量	gold content
听上去	sound
听不到	can't hear
听不懂	unable to make sense of what one is hearing
听不见	not be able to hear
听墙根	eavesdrop
听审会	hearing
听小骨	ossicles
听得懂	understand
听得见	be able to hear; can hear
听腻了	fed up of hearing
听证会	hearing
听诊器	stethoscope
听起来	sound like
听骨链	chain of ossicles
启动区	boot sector
启动子	promoter
启发式	heuristic
启发法	heuristic method
启明星	Venus
启海话	Qihai dialect, a Wu dialect spoken in Tongzhou, Haimen, and Qidong districts in southern Jiangsu province, and on Chongming Island in Shanghai
启示录	the Apocalypse
启示者	revelator
吱吱声	squeak
吱嘎声	creaky voice
吴三桂	Wu Sangui , Chinese general who let the Manchus into China and helped them establish the Qing Dynasty, later leading a revolt against Qing in an effort to start his own dynasty
吴作栋	Goh Chok Tong , Singapore businessman and politician, prime minister 1990-2004
吴哥城	Ankorwat, Cambodia
吴哥窟	Angkor Wat, temple complex in Cambodia
吴嘉经	Wu Jiajing , early Qing dynasty poet
吴天明	Wu Tianming , PRC film director
吴孟超	Wu Mengchao , Chinese medical scientist and surgeon specializing in liver and gallbladder disorders
吴官正	Wu Guanzheng , former CCP Secretary of the Central Commission for Discipline Inspection
吴建豪	Wu Jianhao or Vanness Wu , Taiwan pop star and actor, F4 band member
吴永刚	Wu Yonggang , Chinese film director
吴清源	Go Seigen , Chinese-born Japanese professional Go player
吴玉章	Wu Yuzhang , writer, educator and communist politician
吴自牧	Wu Zimu , writer at the end of the Song dynasty
吴邦国	Wu Bangguo , PRC electrical engineer and politician, politburo member 1992-2012
吴郭鱼	tilapia
吴镇宇	Francis Ng Chun-Yu , Hong Kong actor
吵闹声	noise
吸入剂	inhalant
吸入器	inhaler
吸入阀	suction valve
吸奶器	breast pump
吸尘器	vacuum cleaner
吸尘机	vacuum cleaner
吸引力	attractive force
吸引子	attractor
吸气器	aspirator
吸湿性	moisture-absorbing; hygroscopic
吸烟区	smoking area
吸烟室	smoking room
吸盘鱼	shark sucker
吸虫纲	Class Trematoda
吸蜜鸟	honeyeater
吸血鬼	leech
吸铁石	magnet
吸附剂	absorbent
吸附性	absorption
吸顶灯	flush-mounted ceiling lamp
吹冷风	blow cold
吹口哨	whistle
吹叶机	leaf blower
吹哨人	whistleblower
吹喇叭	blowing the trumpet
吹牛皮	boast
吹球机	lottery machine
吹管乐	woodwind music
吹风机	hair dryer
吹鼓手	booster
呀诺达	Yanoda, a rainforest in southern Hainan
呆扳手	open spanner
呈阳性	test positive
呈阴性	test negative
告别式	parting ceremony
告密者	tell-tale
告示牌	notice
呒虾米	Boshiamy, input method editor for Chinese
呕出物	vomitus
呕吐物	vomit
周一岳	York Chow or Chow Yat-ngok , Hong Kong doctor and politician, Secretary for Health, Welfare and Food since 2004
周华健	Wakin Chau , HK-born Taiwanese singer and actor
周宣王	King Xuan, eleventh King of Zhou, reigned
周年庆	anniversary celebration
